Quarterly Income and Expense of FDIC-Insured Commercial Banks and Savings Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Amounts in $ Millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1984Q1,1984Q2,1984Q3,1984Q4,1985Q1,1985Q2,1985Q3,1985Q4,1986Q1,1986Q2,1986Q3,1986Q4,1987Q1,1987Q2,1987Q3,1987Q4,1988Q1,1988Q2,1988Q3,1988Q4,1989Q1,1989Q2,1989Q3,1989Q4,1990Q1,1990Q2,1990Q3,1990Q4,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of institutions reporting,"17,885 ","17,889 ","17,898 ","17,901 ","17,921 ","17,936 ","18,008 ","18,033 ","18,083 ","18,017 ","18,000 ","17,876 ","17,741 ","17,605 ","17,504 ","17,325 ","17,142 ","16,993 ","16,758 ","16,561 ","16,258 ","16,142 ","15,971 ","15,797 ","15,587 ","15,436 ","15,279 ","15,159 ","15,000 ","14,839 ","14,680 ","14,483 ","14,335 ","14,177 ","14,035 ","13,854 ","13,684 ","13,515 ","13,380 ","13,222 ","13,081 ","12,935 ","12,776 ","12,605 ","12,362 ","12,253 ","12,114 ","11,972 ","11,845 ","11,672 ","11,550 ","11,454 ","11,338 ","11,161 ","11,028 ","10,923 ","10,780 ","10,713 ","10,624 ","10,464 ","10,391 ","10,328 ","10,271 ","10,222 ","10,152 ","10,102 ","9,988 ","9,904 ","9,822 ","9,747 ","9,701 ","9,613 ","9,520 ","9,466 ","9,415 ","9,354 ","9,312 ","9,268 ","9,236 ","9,181 ","9,116 ","9,078 ","9,024 ","8,976 ","8,931 ","8,868 ","8,858 ","8,833 ","8,790 ","8,777 ","8,743 ","8,680 ","8,649 ","8,615 ","8,559 ","8,534 ","8,494 ","8,451 ","8,383 ","8,304 ","8,247 ","8,195 ","8,099 ","8,012 ","7,934 ","7,830 ","7,761 ","7,658 ","7,574 ","7,513 ","7,437 ","7,357 ","7,308 ","7,245 ","7,181 ","7,083 ","7,019 ","6,940 ","6,891 ","6,812 ","6,730 ","6,656 ","6,589 ","6,509 ","6,419 ","6,348 ","6,270 ","6,182 ","6,122 ","6,058 ","5,980 ","5,913 ","5,856 ","5,787 ","5,738 ","5,670 ","5,606 ","5,542 ","5,477 ","5,406 ","5,362 ","5,303 ","5,258 ","5,177 ","5,116 ","5,066 ","5,033 ","5,002 ","4,978 ","4,950 ","4,914 ","4,839 ","4,796 ","4,771 ","4,746 ","4,706 ","4,672 ","4,645 ","4,614 ","4,587 "
Total interest income,"79,981 ","91,850 ","90,526 ","103,800 ","90,866 ","91,953 ","92,145 ","93,340 ","92,869 ","90,466 ","88,742 ","88,142 ","87,746 ","90,333 ","92,465 ","96,473 ","95,950 ","98,024 ","102,645 ","109,617 ","110,197 ","115,294 ","115,421 ","117,426 ","112,387 ","109,285 ","110,249 ","109,627 ","102,933 ","98,511 ","96,702 ","94,456 ","88,766 ","85,740 ","83,456 ","81,390 ","78,896 ","78,264 ","79,094 ","79,592 ","76,587 ","80,386 ","81,694 ","85,919 ","90,064 ","93,907 ","96,350 ","97,188 ","95,956 ","95,633 ","97,626 ","99,496 ","99,414 ","102,610 ","105,030 ","107,301 ","107,045 ","108,576 ","110,755 ","109,892 ","108,687 ","108,718 ","111,803 ","116,538 ","120,418 ","126,573 ","132,046 ","134,500 ","132,004 ","126,399 ","121,518 ","112,358 ","108,285 ","109,012 ","109,174 ","106,238 ","102,871 ","102,526 ","100,180 ","101,191 ","103,048 ","105,085 ","110,125 ","114,260 ","119,915 ","126,721 ","135,702 ","143,005 ","151,735 ","162,987 ","171,585 ","171,582 ","176,209 ","182,526 ","188,075 ","189,627 ","178,575 ","164,867 ","158,735 ","151,373 ","142,478 ","137,864 ","134,180 ","131,072 ","138,527 ","135,203 ","133,483 ","131,818 ","129,389 ","128,467 ","125,745 ","126,527 ","124,043 ","122,363 ","121,734 ","120,196 ","118,059 ","117,090 ","117,565 ","118,920 ","116,116 ","117,417 ","118,805 ","119,031 ","117,282 ","120,063 ","120,284 ","123,737 ","125,246 ","126,869 ","132,541 ","133,688 ","136,610 ","140,571 ","147,383 ","150,790 ","154,932 ","161,925 ","169,022 ","176,911 ","179,351 ","180,647 ","180,840 ","173,622 ","169,537 ","150,183 ","143,223 ","143,348 ","139,769 ","138,558 ","143,207 ","145,382 ","146,492 ","164,977 ","202,692 ","242,249 ","261,352 ","283,193 ","298,618 ","309,970 "
  Domestic office loans,"49,812 ","57,935 ","57,521 ","66,719 ","58,934 ","60,108 ","60,972 ","61,987 ","61,506 ","60,766 ","59,763 ","59,162 ","58,283 ","59,677 ","61,440 ","63,733 ","63,256 ","64,775 ","68,039 ","71,322 ","73,178 ","76,550 ","76,782 ","77,512 ","73,781 ","73,716 ","74,148 ","73,392 ","69,295 ","66,973 ","65,095 ","62,380 ","58,378 ","56,210 ","54,181 ","52,627 ","50,816 ","50,715 ","50,936 ","51,038 ","49,719 ","51,463 ","54,287 ","57,131 ","60,171 ","63,173 ","65,263 ","65,883 ","64,990 ","65,028 ","66,891 ","67,884 ","67,893 ","70,279 ","72,200 ","72,705 ","71,897 ","73,715 ","74,516 ","74,181 ","73,023 ","72,745 ","77,469 ","80,594 ","83,498 ","87,999 ","93,154 ","95,054 ","91,778 ","88,309 ","84,862 ","79,978 ","75,964 ","75,501 ","76,140 ","75,503 ","73,039 ","73,150 ","72,616 ","72,870 ","73,521 ","74,139 ","78,501 ","82,625 ","85,237 ","90,596 ","98,261 ","103,913 ","108,675 ","116,053 ","122,802 ","123,327 ","124,636 ","127,538 ","130,441 ","131,139 ","123,216 ","114,723 ","110,333 ","103,958 ","100,897 ","98,017 ","95,144 ","92,984 ","101,595 ","99,679 ","98,703 ","96,975 ","94,655 ","92,874 ","92,464 ","93,249 ","90,603 ","90,824 ","91,388 ","90,214 ","88,398 ","88,219 ","88,813 ","89,078 ","86,795 ","87,693 ","89,098 ","90,282 ","88,649 ","90,220 ","91,812 ","93,881 ","95,875 ","97,265 ","100,021 ","102,113 ","103,199 ","105,830 ","111,155 ","113,858 ","115,604 ","120,488 ","125,893 ","130,783 ","131,618 ","133,373 ","134,222 ","129,832 ","128,181 ","117,425 ","114,445 ","114,734 ","111,166 ","109,554 ","112,537 ","113,252 ","111,514 ","121,235 ","143,571 ","166,549 ","175,749 ","188,079 ","198,807 ","205,038 "
  Foreign office loans,"7,909 ","8,228 ","8,717 ","8,769 ","7,728 ","7,662 ","7,295 ","7,199 ","6,971 ","6,162 ","5,693 ","5,400 ","5,347 ","5,851 ","5,618 ","5,957 ","5,806 ","5,997 ","6,211 ","8,952 ","7,328 ","7,988 ","8,098 ","9,233 ","9,259 ","6,814 ","7,199 ","7,487 ","6,613 ","5,684 ","5,716 ","6,220 ","5,923 ","5,672 ","5,963 ","5,934 ","6,023 ","5,706 ","6,251 ","6,965 ","5,951 ","7,036 ","5,042 ","5,179 ","5,532 ","5,832 ","5,918 ","6,068 ","6,237 ","6,253 ","6,332 ","6,709 ","5,562 ","5,714 ","5,895 ","6,161 ","6,356 ","6,618 ","6,927 ","7,069 ","6,619 ","6,183 ","5,712 ","6,108 ","5,901 ","6,055 ","6,244 ","6,391 ","6,425 ","5,841 ","5,779 ","5,668 ","5,375 ","5,753 ","5,650 ","5,117 ","4,999 ","5,054 ","4,923 ","5,105 ","5,041 ","5,336 ","5,582 ","5,762 ","5,568 ","5,804 ","6,176 ","6,383 ","6,852 ","7,584 ","8,023 ","7,437 ","8,255 ","9,432 ","10,721 ","11,241 ","11,131 ","10,800 ","8,919 ","8,751 ","7,070 ","6,479 ","6,438 ","6,401 ","6,541 ","6,296 ","6,376 ","6,557 ","6,410 ","6,854 ","6,695 ","6,678 ","6,494 ","6,238 ","6,356 ","6,247 ","5,944 ","5,520 ","5,679 ","5,919 ","5,608 ","5,824 ","5,711 ","5,352 ","4,962 ","4,984 ","4,879 ","4,979 ","4,890 ","4,977 ","4,913 ","5,048 ","4,648 ","4,782 ","5,014 ","5,045 ","5,238 ","5,467 ","5,576 ","5,684 ","5,773 ","5,667 ","5,553 ","5,498 ","5,200 ","4,462 ","4,325 ","3,773 ","3,978 ","4,038 ","4,090 ","4,188 ","4,257 ","4,832 ","5,860 ","7,358 ","8,240 ","8,779 ","9,296 ","9,533 "
  Lease financing receivables,512 ,528 ,550 ,581 ,569 ,573 ,567 ,640 ,641 ,629 ,630 ,541 ,718 ,789 ,705 ,778 ,808 ,838 ,892 ,959 ,882 ,911 ,"1,068 ","1,248 ","1,280 ","1,023 ","1,019 ","1,171 ","1,049 ",980 ,"1,034 ","1,081 ","1,018 ",970 ,993 ,934 ,877 ,876 ,858 ,834 ,804 ,814 ,744 ,826 ,854 ,904 ,961 ,"1,042 ","1,103 ","1,193 ","1,246 ","1,431 ","1,538 ","1,650 ","1,836 ","1,985 ","2,068 ","2,097 ","2,246 ","2,130 ","2,594 ","2,635 ","2,194 ","2,325 ","2,389 ","2,733 ","2,788 ","2,639 ","2,901 ","2,831 ","2,711 ","2,489 ","2,628 ","2,627 ","2,543 ","2,213 ","2,419 ","2,331 ","2,259 ","1,912 ","1,830 ","1,941 ","1,999 ","1,895 ","1,906 ","1,899 ","1,817 ","1,793 ","1,842 ","1,911 ","1,844 ","1,888 ","1,751 ","1,707 ","1,725 ","1,745 ","1,828 ",(291),"1,186 ","1,394 ","1,769 ","1,651 ","1,557 ","1,593 ","1,590 ","1,546 ","1,427 ","1,458 ","1,530 ","1,347 ","1,331 ","1,249 ","1,411 ","1,247 ","1,213 ","1,184 ","1,232 ","1,191 ","1,138 ","1,177 ","1,184 ","1,138 ","1,151 ","1,091 ","1,138 ","1,107 ","1,205 ","1,092 ","1,202 ","1,187 ","1,183 ","1,252 ","1,342 ","1,193 ","1,244 ","1,067 ","1,303 ","1,256 ","1,318 ","1,336 ","1,368 ","1,364 ","1,275 ","1,344 ","1,355 ","1,296 ","1,227 ","1,251 ","1,212 ","1,165 ","1,160 ","1,128 ","1,102 ","1,086 ","1,131 ","1,251 ","1,246 ","1,322 ","1,366 ","1,485 "
  Balances due from depository institutions,"4,052 ","4,298 ","4,443 ","4,150 ","3,708 ","3,676 ","3,429 ","3,215 ","3,164 ","2,947 ","2,838 ","2,724 ","2,788 ","2,997 ","3,031 ","3,510 ","3,266 ","3,125 ","3,556 ","4,009 ","3,654 ","4,233 ","3,907 ","3,846 ","3,744 ","3,295 ","3,019 ","2,838 ","2,497 ","2,206 ","2,237 ","2,381 ","2,107 ","1,863 ","1,798 ","1,800 ","1,547 ","1,648 ","1,655 ","1,434 ","1,259 ","1,322 ","1,224 ","1,437 ","1,583 ","1,617 ","1,538 ","1,512 ","1,374 ","1,366 ","1,324 ","1,396 ","1,357 ","1,481 ","1,615 ","1,994 ","1,910 ","1,386 ","1,684 ","1,701 ","1,610 ","1,627 ","1,314 ","1,584 ","1,495 ","1,693 ","1,479 ","1,858 ","1,936 ","1,684 ","1,607 ",213 ,957 ,925 ,896 ,846 ,775 ,814 ,607 ,570 ,758 ,777 ,870 ,"1,058 ","1,237 ","1,162 ","1,268 ","1,563 ","1,628 ","1,982 ","2,065 ","2,142 ","1,997 ","2,245 ","2,977 ","2,846 ","2,534 ","2,563 ","2,276 ","3,261 ","1,679 ","1,338 ","1,087 ","1,154 ","1,041 ","1,066 ","1,093 ","1,105 ","1,194 ","1,334 ","1,373 ","1,339 ","1,220 ","1,224 ","1,217 ","1,212 ","1,144 ","1,200 ","1,273 ","1,358 ","1,321 ","1,371 ","1,386 ","1,275 ","1,407 ","1,377 ","1,359 ","1,500 ","2,133 ","2,186 ","2,236 ","2,290 ","3,118 ","3,974 ","4,863 ","4,994 ","5,688 ","6,311 ","6,812 ","7,193 ","7,070 ","6,222 ","6,157 ","5,003 ","4,215 ","1,203 ",999 ,"1,005 ","1,026 ","1,080 ","1,419 ","1,463 ","1,833 ","5,316 ","12,457 ","17,881 ","23,109 ","28,723 ","30,016 ","32,202 "
  Securities,"14,829 ","17,426 ","15,708 ","19,771 ","16,751 ","16,771 ","16,620 ","16,619 ","16,932 ","16,753 ","16,859 ","17,217 ","17,274 ","17,754 ","18,326 ","19,054 ","19,243 ","19,499 ","19,757 ","20,004 ","20,736 ","21,226 ","21,110 ","20,682 ","19,778 ","19,930 ","19,998 ","20,047 ","19,735 ","19,230 ","19,013 ","18,978 ","18,138 ","18,042 ","17,836 ","17,307 ","16,860 ","16,586 ","16,175 ","16,095 ","15,358 ","16,415 ","16,901 ","17,247 ","17,583 ","17,795 ","18,009 ","17,933 ","17,492 ","17,574 ","17,486 ","17,329 ","17,252 ","17,752 ","17,621 ","17,942 ","18,225 ","18,345 ","18,474 ","19,229 ","19,453 ","20,355 ","20,732 ","21,036 ","21,862 ","22,234 ","22,403 ","22,291 ","21,848 ","20,961 ","20,356 ","19,389 ","19,241 ","19,571 ","19,414 ","18,216 ","17,517 ","17,242 ","15,936 ","16,880 ","17,833 ","18,356 ","18,280 ","18,453 ","19,702 ","20,093 ","20,682 ","21,773 ","22,968 ","24,633 ","25,539 ","25,095 ","25,340 ","26,791 ","26,483 ","26,400 ","25,189 ","24,829 ","24,534 ","24,364 ","24,967 ","24,799 ","24,494 ","23,836 ","23,227 ","22,136 ","21,011 ","20,648 ","20,617 ","20,680 ","18,633 ","18,996 ","19,394 ","18,130 ","17,159 ","16,689 ","16,826 ","16,403 ","16,612 ","17,458 ","17,255 ","17,379 ","17,496 ","16,964 ","16,992 ","18,260 ","17,137 ","18,443 ","17,251 ","17,315 ","20,193 ","18,711 ","19,885 ","20,327 ","20,440 ","20,962 ","21,887 ","22,886 ","23,508 ","24,779 ","25,534 ","25,369 ","24,886 ","24,408 ","23,930 ","21,948 ","19,728 ","19,189 ","19,430 ","19,823 ","20,889 ","22,050 ","24,202 ","27,434 ","31,178 ","36,060 ","37,954 ","38,320 ","39,774 ","41,139 "
  Trading accounts,420 ,497 ,664 ,818 ,808 ,775 ,830 ,931 ,964 ,786 ,777 ,835 ,"1,086 ","1,031 ",910 ,946 ,"1,089 ","1,221 ","1,351 ","1,282 ",963 ,"1,008 ","1,181 ","1,298 ","1,402 ","1,290 ","1,444 ","1,404 ","1,113 ","1,101 ","1,229 ","1,312 ","1,363 ","1,325 ","1,351 ","1,512 ","1,559 ","1,529 ","1,954 ","1,953 ","2,238 ","1,895 ","1,776 ","1,942 ","2,014 ","2,068 ","2,135 ","2,109 ","2,177 ","1,856 ","2,147 ","2,386 ","2,369 ","2,502 ","2,497 ","2,692 ","2,651 ","2,751 ","2,943 ","1,794 ","1,930 ","1,839 ","1,570 ","1,762 ","2,020 ","2,331 ","2,490 ","2,585 ","2,578 ","2,460 ","2,344 ","2,179 ","1,884 ","2,327 ","2,253 ","2,149 ","2,135 ","1,979 ","1,806 ","1,979 ","2,151 ","2,455 ","2,477 ","2,730 ","3,172 ","3,697 ","3,333 ","3,517 ","4,039 ","4,836 ","4,427 ","4,676 ","6,041 ","6,059 ","7,150 ","7,178 ","7,628 ","6,701 ","6,155 ","6,127 ","4,215 ","4,115 ","3,946 ","3,661 ","3,077 ","2,972 ","3,158 ","3,237 ","3,181 ","3,529 ","3,263 ","2,969 ","2,871 ","2,783 ","2,612 ","2,879 ","2,928 ","2,964 ","2,558 ","2,543 ","2,520 ","2,647 ","2,555 ","2,571 ","2,554 ","2,577 ","2,387 ","2,352 ","2,426 ","2,511 ","2,515 ","2,517 ","2,395 ","2,416 ","2,483 ","2,546 ","2,701 ","2,644 ","2,762 ","2,918 ","3,242 ","3,432 ","3,490 ","3,345 ","3,199 ","2,450 ","1,205 ","1,932 ","1,834 ","1,886 ","1,979 ","2,022 ","2,105 ","2,374 ","2,989 ","3,751 ","4,201 ","4,950 ","5,393 ","5,631 "
  Federal funds sold,"2,447 ","2,914 ","2,926 ","2,948 ","2,356 ","2,374 ","2,422 ","2,751 ","2,682 ","2,412 ","2,174 ","2,255 ","2,243 ","2,231 ","2,413 ","2,486 ","2,473 ","2,558 ","2,828 ","3,078 ","3,456 ","3,378 ","3,274 ","3,607 ","3,149 ","3,218 ","3,424 ","3,289 ","2,631 ","2,338 ","2,379 ","2,104 ","1,839 ","1,659 ","1,335 ","1,276 ","1,214 ","1,204 ","1,265 ","1,274 ","1,258 ","1,442 ","1,720 ","2,158 ","2,327 ","2,519 ","2,526 ","2,641 ","2,584 ","2,363 ","2,200 ","2,362 ","3,442 ","3,232 ","3,367 ","3,821 ","3,938 ","3,665 ","3,965 ","3,788 ","3,458 ","3,333 ","2,811 ","3,129 ","3,254 ","3,528 ","3,487 ","3,681 ","4,088 ","3,673 ","3,227 ","1,824 ","1,624 ","1,597 ","1,563 ","1,523 ","1,343 ","1,221 ","1,358 ","1,151 ","1,180 ","1,051 ","1,395 ","1,597 ","1,958 ","2,322 ","2,946 ","3,999 ","4,420 ","4,604 ","5,454 ","6,977 ","7,046 ","7,596 ","7,282 ","7,260 ","5,736 ","4,369 ","4,405 ","2,454 ","1,122 ",809 ,752 ,810 ,862 ,888 ,"1,052 ","1,217 ","1,160 ","1,195 ","1,329 ","1,310 ","1,340 ","1,209 ","1,128 ","1,090 ","1,014 ",946 ,893 ,764 ,782 ,692 ,740 ,696 ,772 ,673 ,780 ,723 ,916 ,920 ,968 ,995 ,"1,047 ","1,138 ","1,327 ","1,389 ","1,527 ","1,768 ","2,052 ","3,002 ","3,468 ","3,798 ","3,749 ","2,956 ","2,454 ",834 ,744 ,708 ,600 ,474 ,574 ,723 ,859 ,"1,518 ","3,609 ","6,325 ","7,788 ","9,318 ","10,168 ","11,201 "
