Year,Number of institutions reporting,Total interest income,  Domestic office loans,  Lease financing receivables,  Balances due from depository institutions,  Securities,  Trading accounts,  Federal funds sold,Total interest expense,  Domestic office deposits,  Federal funds purchased,  Trading liabilities and other borrowed money,Net interest income,Total noninterest income,  Service charges on deposit accounts,  Trading account gains and fees,Total noninterest expense,  Salaries and employee benefits,  Premises and equipment expense,  Other noninterest expense,    Amortization expense and goodwill impairment losses,Securities gains (losses),Income (loss) before income taxes and extraordinary items,Applicable income taxes,"Extraordinary gains (losses), net",Net income (loss) attributable to bank,Cash dividends,Retained earnings,Net operating income,Number of unprofitable institutions,Number of institutions with year-over-year earnings gains
1984Q1,"17,885 ","79,981 ","49,812 ",512 ,"4,052 ","14,829 ",420 ,"2,447 ","59,105 ","41,583 ","4,531 ","4,442 ","20,876 ","8,303 ","1,561 ",389 ,"21,617 ","10,673 ","3,619 ","7,325 ",198 ,505 ,"5,924 ","1,418 ",32 ,"4,539 ","1,720 ","2,818 ","4,061 ","3,000 ","6,459 "
1984Q2,"17,889 ","91,850 ","57,935 ",528 ,"4,298 ","17,426 ",497 ,"2,914 ","62,712 ","48,795 ","5,091 ","5,046 ","23,568 ","9,264 ","1,698 ",224 ,"23,794 ","11,377 ","3,905 ","8,480 ",242 ,363 ,"5,835 ","1,782 ",40 ,"4,091 ","2,093 ","1,998 ","3,721 ","2,401 ","7,878 "
1984Q3,"17,898 ","90,526 ","57,521 ",550 ,"4,443 ","15,708 ",664 ,"2,926 ","68,079 ","46,977 ","5,356 ","5,822 ","22,446 ","9,101 ","1,648 ",370 ,"22,846 ","10,954 ","3,807 ","8,085 ",232 ,457 ,"5,791 ","1,311 ",80 ,"4,560 ","1,630 ","2,929 ","4,083 ","3,079 ","8,529 "
1984Q4,"17,901 ","103,800 ","66,719 ",581 ,"4,150 ","19,771 ",818 ,"2,948 ","68,129 ","59,070 ","4,928 ","5,964 ","24,498 ","11,809 ","1,970 ",539 ,"27,957 ","12,452 ","4,449 ","11,010 ",280 ,"1,109 ","4,571 ","1,205 ",92 ,"3,458 ","2,673 ",785 ,"2,488 ","5,062 ","7,764 "
1985Q1,"17,921 ","90,866 ","58,934 ",569 ,"3,708 ","16,751 ",808 ,"2,356 ","63,252 ","48,073 ","4,268 ","5,379 ","24,868 ","9,466 ","1,806 ",324 ,"25,068 ","11,821 ","4,165 ","9,065 ",267 ,"1,036 ","7,283 ","1,938 ",68 ,"5,413 ","2,104 ","3,309 ","4,474 ","2,741 ","8,443 "
1985Q2,"17,936 ","91,953 ","60,108 ",573 ,"3,676 ","16,771 ",775 ,"2,374 ","62,555 ","47,402 ","4,035 ","5,540 ","26,657 ","10,494 ","1,881 ",530 ,"27,015 ","12,159 ","4,294 ","10,546 ",284 ,"2,245 ","8,014 ","2,136 ",181 ,"6,058 ","2,077 ","3,981 ","4,058 ","2,535 ","10,512 "
1985Q3,"18,008 ","92,145 ","60,972 ",567 ,"3,429 ","16,620 ",830 ,"2,422 ","61,556 ","46,736 ","4,085 ","6,045 ","27,623 ","11,318 ","1,934 ",876 ,"27,416 ","12,432 ","4,418 ","10,540 ",293 ,"1,661 ","8,820 ","2,333 ",38 ,"6,524 ","1,813 ","4,711 ","5,143 ","2,708 ","10,454 "
1985Q4,"18,033 ","93,340 ","61,987 ",640 ,"3,215 ","16,619 ",931 ,"2,751 ","61,451 ","46,130 ","4,510 ","6,035 ","29,037 ","12,014 ","2,028 ",659 ,"30,410 ","13,028 ","4,704 ","12,634 ",343 ,"2,507 ","6,859 ","1,884 ",38 ,"5,012 ","3,030 ","1,982 ","3,015 ","5,260 ","9,587 "
1986Q1,"18,083 ","92,869 ","61,506 ",641 ,"3,164 ","16,932 ",964 ,"2,682 ","63,989 ","45,653 ","4,462 ","6,321 ","28,881 ","11,374 ","1,957 ",903 ,"29,228 ","13,164 ","4,717 ","11,310 ",323 ,"3,439 ","9,746 ","2,699 ",129 ,"7,176 ","2,128 ","5,048 ","4,282 ","2,602 ","10,692 "
1986Q2,"18,017 ","90,466 ","60,766 ",629 ,"2,947 ","16,753 ",786 ,"2,412 ","61,162 ","44,628 ","4,041 ","5,772 ","29,304 ","12,031 ","1,998 ",625 ,"31,435 ","13,363 ","4,743 ","13,293 ",338 ,"2,956 ","7,315 ","2,558 ",84 ,"4,841 ","2,147 ","2,694 ","2,399 ","3,183 ","8,693 "
1986Q3,"18,000 ","88,742 ","59,763 ",630 ,"2,838 ","16,859 ",777 ,"2,174 ","59,244 ","43,341 ","3,816 ","5,772 ","29,498 ","12,614 ","2,070 ",694 ,"31,528 ","13,629 ","4,900 ","12,958 ",344 ,"2,514 ","7,841 ","2,712 ",92 ,"5,220 ","2,132 ","3,089 ","3,099 ","3,582 ","8,065 "
