Year,Number of institutions reporting,Total interest income,  Domestic office loans,  Lease financing receivables,  Balances due from depository institutions,  Securities,  Trading accounts,  Federal funds sold,Total interest expense,  Domestic office deposits,  Federal funds purchased,  Trading liabilities and other borrowed money,Net interest income,Total noninterest income,  Service charges on deposit accounts,  Trading account gains and fees,Total noninterest expense,  Salaries and employee benefits,  Premises and equipment expense,  Other noninterest expense,    Amortization expense and goodwill impairment losses,Securities gains (losses),Income (loss) before income taxes and extraordinary items,Applicable income taxes,"Extraordinary gains (losses), net",Net income (loss) attributable to bank,Cash dividends,Retained earnings,Net operating income,Number of unprofitable institutions,Number of institutions with year-over-year earnings gains
1984Q1,17885.00,79981.00,49812.00,512.00,4052.00,14829.00,420.00,2447.00,59105.00,41583.00,4531.00,4442.00,20876.00,8303.00,1561.00,389.00,21617.00,10673.00,3619.00,7325.00,198.00,505.00,5924.00,1418.00,32.00,4539.00,1720.00,2818.00,4061.00,3000.00,6459.00
1984Q2,17889.00,91850.00,57935.00,528.00,4298.00,17426.00,497.00,2914.00,62712.00,48795.00,5091.00,5046.00,23568.00,9264.00,1698.00,224.00,23794.00,11377.00,3905.00,8480.00,242.00,363.00,5835.00,1782.00,40.00,4091.00,2093.00,1998.00,3721.00,2401.00,7878.00
1984Q3,17898.00,90526.00,57521.00,550.00,4443.00,15708.00,664.00,2926.00,68079.00,46977.00,5356.00,5822.00,22446.00,9101.00,1648.00,370.00,22846.00,10954.00,3807.00,8085.00,232.00,457.00,5791.00,1311.00,80.00,4560.00,1630.00,2929.00,4083.00,3079.00,8529.00
1984Q4,17901.00,103800.00,66719.00,581.00,4150.00,19771.00,818.00,2948.00,68129.00,59070.00,4928.00,5964.00,24498.00,11809.00,1970.00,539.00,27957.00,12452.00,4449.00,11010.00,280.00,1109.00,4571.00,1205.00,92.00,3458.00,2673.00,785.00,2488.00,5062.00,7764.00
1985Q1,17921.00,90866.00,58934.00,569.00,3708.00,16751.00,808.00,2356.00,63252.00,48073.00,4268.00,5379.00,24868.00,9466.00,1806.00,324.00,25068.00,11821.00,4165.00,9065.00,267.00,1036.00,7283.00,1938.00,68.00,5413.00,2104.00,3309.00,4474.00,2741.00,8443.00
1985Q2,17936.00,91953.00,60108.00,573.00,3676.00,16771.00,775.00,2374.00,62555.00,47402.00,4035.00,5540.00,26657.00,10494.00,1881.00,530.00,27015.00,12159.00,4294.00,10546.00,284.00,2245.00,8014.00,2136.00,181.00,6058.00,2077.00,3981.00,4058.00,2535.00,10512.00
1985Q3,18008.00,92145.00,60972.00,567.00,3429.00,16620.00,830.00,2422.00,61556.00,46736.00,4085.00,6045.00,27623.00,11318.00,1934.00,876.00,27416.00,12432.00,4418.00,10540.00,293.00,1661.00,8820.00,2333.00,38.00,6524.00,1813.00,4711.00,5143.00,2708.00,10454.00
1985Q4,18033.00,93340.00,61987.00,640.00,3215.00,16619.00,931.00,2751.00,61451.00,46130.00,4510.00,6035.00,29037.00,12014.00,2028.00,659.00,30410.00,13028.00,4704.00,12634.00,343.00,2507.00,6859.00,1884.00,38.00,5012.00,3030.00,1982.00,3015.00,5260.00,9587.00
1986Q1,18083.00,92869.00,61506.00,641.00,3164.00,16932.00,964.00,2682.00,63989.00,45653.00,4462.00,6321.00,28881.00,11374.00,1957.00,903.00,29228.00,13164.00,4717.00,11310.00,323.00,3439.00,9746.00,2699.00,129.00,7176.00,2128.00,5048.00,4282.00,2602.00,10692.00
1986Q2,18017.00,90466.00,60766.00,629.00,2947.00,16753.00,786.00,2412.00,61162.00,44628.00,4041.00,5772.00,29304.00,12031.00,1998.00,625.00,31435.00,13363.00,4743.00,13293.00,338.00,2956.00,7315.00,2558.00,84.00,4841.00,2147.00,2694.00,2399.00,3183.00,8693.00
1986Q3,18000.00,88742.00,59763.00,630.00,2838.00,16859.00,777.00,2174.00,59244.00,43341.00,3816.00,5772.00,29498.00,12614.00,2070.00,694.00,31528.00,13629.00,4900.00,12958.00,344.00,2514.00,7841.00,2712.00,92.00,5220.00,2132.00,3089.00,3099.00,3582.00,8065.00
1986Q4,17876.00,88142.00,59162.00,541.00,2724.00,17217.00,835.00,2255.00,57453.00,41480.00,3954.00,5966.00,30688.00,13263.00,2135.00,636.00,35932.00,14039.00,5160.00,16687.00,420.00,3028.00,3903.00,1640.00,129.00,2392.00,3582.00,-1190.00,-211.00,5575.00,8875.00
1987Q1,17741.00,87746.00,58283.00,718.00,2788.00,17274.00,1086.00,2243.00,57036.00,39907.00,3930.00,6706.00,30710.00,12245.00,2123.00,828.00,30781.00,14111.00,5026.00,11598.00,345.00,2373.00,9063.00,3276.00,123.00,5910.00,2481.00,3429.00,4000.00,2783.00,8239.00
1987Q2,17605.00,90333.00,59677.00,789.00,2997.00,17754.00,1031.00,2231.00,58778.00,40080.00,3948.00,7654.00,31555.00,13110.00,2177.00,671.00,32653.00,14238.00,5099.00,13268.00,361.00,1010.00,-10772.00,1185.00,49.00,-11908.00,2566.00,-14474.00,-12851.00,3529.00,8320.00
1987Q3,17504.00,92465.00,61440.00,705.00,3031.00,18326.00,910.00,2413.00,60782.00,41612.00,4277.00,7801.00,31683.00,13175.00,2284.00,589.00,32153.00,14419.00,5199.00,12481.00,358.00,664.00,7086.00,2907.00,78.00,4256.00,2682.00,1574.00,3644.00,3202.00,9018.00
1987Q4,17325.00,96473.00,63733.00,778.00,3510.00,19054.00,946.00,2486.00,64324.00,43555.00,4350.00,8792.00,32149.00,14759.00,2334.00,1464.00,34546.00,14828.00,5380.00,14291.00,418.00,137.00,360.00,1974.00,30.00,-1584.00,4269.00,-5853.00,-1650.00,5000.00,8853.00
1988Q1,17142.00,95950.00,63256.00,808.00,3266.00,19243.00,1089.00,2473.00,64641.00,44342.00,4362.00,8712.00,31310.00,13185.00,2348.00,1146.00,32739.00,14701.00,5331.00,12665.00,483.00,1107.00,4439.00,3126.00,147.00,1460.00,3505.00,-2045.00,454.00,2763.00,8159.00
1988Q2,16993.00,98024.00,64775.00,838.00,3125.00,19499.00,1221.00,2558.00,65825.00,44835.00,4627.00,8974.00,32199.00,13751.00,2430.00,965.00,33056.00,14706.00,5326.00,12981.00,515.00,527.00,4577.00,3227.00,316.00,1666.00,3172.00,-1506.00,963.00,2775.00,9381.00
1988Q3,16758.00,102645.00,68039.00,892.00,3556.00,19757.00,1351.00,2828.00,69496.00,46309.00,5155.00,9812.00,33149.00,14018.00,2472.00,815.00,33092.00,14817.00,5401.00,12821.00,496.00,508.00,7664.00,3392.00,166.00,4438.00,3145.00,1293.00,3905.00,2648.00,9584.00
1988Q4,16561.00,109617.00,71322.00,959.00,4009.00,20004.00,1282.00,3078.00,73424.00,49084.00,5569.00,10726.00,36193.00,14130.00,2487.00,765.00,35222.00,15171.00,5595.00,14403.00,555.00,253.00,5557.00,3223.00,232.00,2566.00,4833.00,-2267.00,2196.00,3881.00,9502.00
